Title,Title_URL,Rating,Date,Position,Status,Location,View7,View8,View9,View10,helpfulness
Great place,https://www.glassdoor.com/Reviews/Employee-Review-Fidelity-Investments-RVW82198895.htm,5.0,"Nov 29, 2023",Anonymous Employee,"Current Employee, more than 1 year",,Pros,Culture Benefits Employees Leadership Work life balance,Cons,"There are no cons, great place to work.",
Great career-starting company,https://www.glassdoor.com/Reviews/Employee-Review-Fidelity-Investments-RVW20987141.htm,5.0,"Jun 11, 2018",QA Engineer,"Current Employee, more than 3 years","Smithfield, RI",Pros,Benefits including profit sharing and bonuses are great. The breadth of this company provides a great opportunity to try out different career paths or boost your current one.,Cons,"In my current role, I am working overtime more often than I'd like with recognition that seems to only go so far until it sizzles out. That may be tied to the size of the company itself, where promotions work in a ""trickle down"" manner.",226
No respect,https://www.glassdoor.com/Reviews/Employee-Review-Fidelity-Investments-RVW82134231.htm,1.0,"Nov 27, 2023",Regional Support Technician,"Current Employee, more than 5 years","Merrimack, NH",Pros,The benefits are solid... Or so I'm told honestly I don't understand why we don't have a single payer system it's insane that to have health care you need a stable job.  Don't even get me started on dental... What are they?  Luxury bones?,Cons,"Despite the fact that the average employee of this company can't even power on a computer my role is the lowest paid in the company.

To be clear the folks who work from home taking chats/calls who escalate their tickets to my team make more than my team. 

Let's talk numbers.

Inflation in 2021 was around 9% but the average raise for my team was 2%.

2022 was again around 9... But we got a whopping 7%.

That's a pay cut baby.  When we spoke to our leadership they literally told us to go find another job.

What's more is there is no out. You are trapped in this role forever or until you find something better elsewhere.  They offer programs to ""help you progress."" but then banish the techs because they don't want tech people. 

They also abuse the ever living crap out of contractors.  They want you as an employee handling people with millions of dollars in trades laptops but they don't wanna give health care.  Incredible.",3
Ehh...,https://www.glassdoor.com/Reviews/Employee-Review-Fidelity-Investments-RVW82004455.htm,2.0,"Nov 21, 2023",Financial Customer Associate,Current Employee,"Durham, NC",Pros,The starting pay is pretty good for a call center. Great benefits as well.,Cons,"They claim that there are so many different opportunities to grow within the company, but make it impossible to explore those options due to working a strict schedule on the phones. The call volume is back to back with no room to breathe in between calls. You go through 3 months of training and still feel confused at the end. They encourage you to ask questions and reach out for help, but when you reach out for help, you're reprimanded for doing so. You have no say so in your schedule and you have to work between 12pm-8pm so say goodbye to having any type of social life. They offer free therapy and after working there for about a week, you'll quickly understand why.",3
Let Go While 7 Months Pregnant,https://www.glassdoor.com/Reviews/Employee-Review-Fidelity-Investments-RVW80985681.htm,1.0,"Oct 16, 2023",Financial Consultant I,"Former Employee, more than 1 year","Chicago, IL",Pros,I was drawn to the training program for the Financial Consultant role. Good 401k match.,Cons,"I was in a 1 year training program for the Financial Consultant role while completing my CERTIFIED FINANCIAL PLANNER™ certification. I was told I needed to sell more insurance, annuities, and managed accounts in order to continue on as a Financial Consultant. I was let go as soon as I hit the 1 year mark, shortly after I became a CFP® professional. I had told HR that I was pregnant when I became concerned about losing my job and asked to be considered for a different role within Fidelity (since I knew I would not be able to interview and start another job at 7 months pregnant). After I was let go by my manager, I reached back out to HR and they were not even aware that my employment was being terminated. Everyone I dealt with at Fidelity was extremely insensitive to the fact that this would cause a huge amount of stress to me and my family at a time that stress had serious potential health risks to myself and my baby. I ended up being unemployed for close to 9 months. I was interviewing for new jobs while also taking care of a newborn and paying extremely high premiums for health insurance for my family. Only 23% of CFP professionals are women, and only about 15% of financial advisors are women. Even though Fidelity touts its family values and culture, I would not recommend Fidelity to women based on my experience.",18
Not what it seems,https://www.glassdoor.com/Reviews/Employee-Review-Fidelity-Investments-RVW82174148.htm,1.0,"Nov 29, 2023",Client Relationship Advocate,Current Employee,"Covington, KY",Pros,The people outside of the onboarding group are amazing and extremely helpful.,Cons,"Toxic doesn't begin to describe how things are. The onboarding managers openly compare you to others, bring up personal things in 1 on 1s about other associates and make comments about your life like suggesting you should be married or have children by now. They yell at you on the floor in front of the entire facility if you do something they don't like. The don't advocate for people who have disabilities when it comes to learning the material so you're constantly compared to others openly. They require you to work multiple hours a week UNPAID after your schedule and on weekends. They SUGGEST you should work through your breaks and lunches.",2
Great company for long term career,https://www.glassdoor.com/Reviews/Employee-Review-Fidelity-Investments-RVW82013515.htm,4.0,"Nov 22, 2023","Director, Risk Management","Current Employee, more than 10 years","Boston, MA",Pros,"Fidelity has two main driving goals, first is customer experience/satisfaction and the other is retaining talent. These can be challenging to balance at times, but they do their best and are mostly successful at it. Flexible work schedules is primary reason Fidelity is retaining a lot of their talent. It's for these reasons I've been with the company almost 20 years and plan to retire here if possible.",Cons,"Lately the company has been getting a little political and pushing some activist type initiatives, which doesn't sit well with many employees. They of course won't speak up and say much, especially ones who've been around a while. The company needs to stick to financial matters and stay away from woke agendas or they may face backlash even if their intentions are sound.",2
"Good company, but could be so much better",https://www.glassdoor.com/Reviews/Employee-Review-Fidelity-Investments-RVW81361811.htm,4.0,"Oct 29, 2023",User Experience Designer,"Current Employee, more than 1 year","Research Triangle Park, NC",Pros,"Encourages career mobility, benefits, work/life balance, dynamic working option for those who want it (1 week in office for local remote workers), own entire end-to-end initiatives in 1 business unit or just projects in the other, ux team apart from product team but still integrated, some autonomy on how you work, ux culture, company culture, maintains accessibility standards, employee resource groups, learning day every 2 weeks",Cons,"Slow production cycle, corporate red tape, some product directions are not defined, communication from management, managers not knowing how to manage,  new design systems every few years, hard to get promotions within team unless you're a white male,  boys club, enforcement of connect weeks (no flexibility of when you come in & forcing us to come in in the first place), promotes agile but doesnt practice it well, strained ux research team and limited access to users, wants to sacrifice ux principles for sake of visual alignment",2
Constant opportunity for development and growth for those who want it,https://www.glassdoor.com/Reviews/Employee-Review-Fidelity-Investments-RVW6026362.htm,5.0,"Mar 2, 2015",Anonymous Employee,"Current Employee, more than 10 years","Westlake, TX",Pros,"Large, privately held firm with values that are reinforced at all levels of leadership. Career opportunities are ongoing and the vast majority of people at the firm will help you progress if you're willing to do the work.
Fidelity provides exceptional benefits with options based on personal needs and various family situations. While pay and bonus structures are sometimes criticized, being patient will pay off for those who are willing to wait.",Cons,"Fidelity retail is open 24 hours, causing scheduling conflicts for some candidates
Career tracks within the firm can be limited due to licensing requirements, or lack of licensing flexibility in the groups",184
Good but not great,https://www.glassdoor.com/Reviews/Employee-Review-Fidelity-Investments-RVW81524689.htm,3.0,"Nov 3, 2023",Associate Director,"Former Employee, more than 10 years",,Pros,Over 10 yrs with the company and there is a lot to like about Fidelity. Their 401k match and profit sharing is impressive. Great starting place for a career. Career mobility is available yet there can be ceilings for advancement. Their products and platform solutions are also quite good. Truly a client centric organization and is focused on maintaining that perception. Their approach during Covid was pretty level-headed.,Cons,"Consistent theme where senior mgmt proved to be disinterested and detached from the happenings on the ground. In retrospect, there is also an unhealthy fear within the workforce. There was always a worry about a rumored layoff and then those that always make a point to ‘appear busy.’ Often you will hear from peers or managers that the grass isn’t always greener or that you should think twice before leaving. Other comments regarding excessive workload expectations and having a stressful work environment are also understated. That is pretty consistent across the channels.",3
